pair	scenario	variant	workload	backend	repeat	instructions	ms	instr/sec	mips	cycles	native-cycles	allocated bytes	checksum	compiled traces	fallback instr	pure trace instr	bus trace instr	zero-wait reads	zero-wait writes
1	default	control	branch-self-loop	InterpreterM68000	1	30000000	39.122	766837842	766.838	300000000	0	0	0x1EE75D0E	0	0	0	0	0	0
1	default	control	register-hot-loop	InterpreterM68000	1	30000000	115.723	259240408	259.240	224999990	0	0	0xD59BE6BE	0	0	0	0	0	0
1	default	control	memory-transform-loop	InterpreterM68000	1	30000000	1932.034	15527676	15.528	374999136	0	0	0x5E73DB50	0	0	0	0	0	0
1	default	final	branch-self-loop	InterpreterM68000	1	30000000	40.872	734000621	734.001	300000000	0	0	0x1EE75D0E	0	0	0	0	0	0
1	default	final	register-hot-loop	InterpreterM68000	1	30000000	124.090	241760403	241.760	224999990	0	0	0xD59BE6BE	0	0	0	0	0	0
1	default	final	memory-transform-loop	InterpreterM68000	1	30000000	1317.912	22763287	22.763	374999136	0	0	0x5E73DB50	0	0	0	0	0	0
1	cfg	control	cfg-bcc-register-loop	InterpreterM68000	1	30000000	1530.273	19604340	19.604	219581146	0	0	0xFC58829D	0	0	0	0	0	0
1	cfg	control	cfg-dbra-load-loop	InterpreterM68000	1	30000000	1593.742	18823626	18.824	329999082	0	0	0xDD782700	0	0	0	0	0	0
1	cfg	control	cfg-bcc-memory-loop	InterpreterM68000	1	30000000	1632.021	18382121	18.382	254409444	0	0	0x7EA0225A	0	0	0	0	0	0
1	cfg	final	cfg-bcc-register-loop	InterpreterM68000	1	30000000	979.488	30628253	30.628	219581146	0	0	0xFC58829D	0	0	0	0	0	0
1	cfg	final	cfg-dbra-load-loop	InterpreterM68000	1	30000000	1039.585	28857664	28.858	329999082	0	0	0xDD782700	0	0	0	0	0	0
1	cfg	final	cfg-bcc-memory-loop	InterpreterM68000	1	30000000	1096.572	27357985	27.358	254409444	0	0	0x7EA0225A	0	0	0	0	0	0
1	bus-prefetch	control	branch-self-loop	InterpreterM68000BusPrefetch	1	30000000	1611.559	18615515	18.616	300000000	0	0	0x1EE75D0E	0	0	0	0	0	0
1	bus-prefetch	control	register-hot-loop	InterpreterM68000BusPrefetch	1	30000000	1571.003	19096084	19.096	224999990	0	0	0xD59BE6BE	0	0	0	0	0	0
