pair	variant	workload	backend	repeat	instructions	ms	instr/sec	mips	cycles	native-cycles	allocated bytes	checksum	compiled traces	fallback instr	pure trace instr	bus trace instr	zero-wait reads	zero-wait writes
1	baseline	branch-self-loop	InterpreterM68000	1	20000000	1309.451	15273571	15.274	200000000	0	0	0x1D3AEA0E	0	0	0	0	0	0
1	baseline	register-hot-loop	InterpreterM68000	1	20000000	1530.874	13064436	13.064	149999990	0	0	0x1704C2FE	0	0	0	0	0	0
1	baseline	memory-transform-loop	InterpreterM68000	1	20000000	2187.604	9142422	9.142	249999416	0	0	0x1A63DBB3	0	0	0	0	0	0
1	candidate	branch-self-loop	InterpreterM68000	1	20000000	1090.127	18346490	18.346	200000000	0	0	0x1D3AEA0E	0	0	0	0	0	0
1	candidate	register-hot-loop	InterpreterM68000	1	20000000	1019.971	19608393	19.608	149999990	0	0	0x1704C2FE	0	0	0	0	0	0
1	candidate	memory-transform-loop	InterpreterM68000	1	20000000	2000.345	9998277	9.998	249999416	0	0	0x1A63DBB3	0	0	0	0	0	0
2	candidate	branch-self-loop	InterpreterM68000	1	20000000	1077.509	18561330	18.561	200000000	0	0	0x1D3AEA0E	0	0	0	0	0	0
2	candidate	register-hot-loop	InterpreterM68000	1	20000000	1049.237	19061478	19.061	149999990	0	0	0x1704C2FE	0	0	0	0	0	0
2	candidate	memory-transform-loop	InterpreterM68000	1	20000000	1427.485	14010655	14.011	249999416	0	0	0x1A63DBB3	0	0	0	0	0	0
2	baseline	branch-self-loop	InterpreterM68000	1	20000000	1256.863	15912631	15.913	200000000	0	0	0x1D3AEA0E	0	0	0	0	0	0
2	baseline	register-hot-loop	InterpreterM68000	1	20000000	1250.251	15996787	15.997	149999990	0	0	0x1704C2FE	0	0	0	0	0	0
2	baseline	memory-transform-loop	InterpreterM68000	1	20000000	2045.651	9776839	9.777	249999416	0	0	0x1A63DBB3	0	0	0	0	0	0
3	baseline	branch-self-loop	InterpreterM68000	1	20000000	1226.475	16306892	16.307	200000000	0	0	0x1D3AEA0E	0	0	0	0	0	0
3	baseline	register-hot-loop	InterpreterM68000	1	20000000	1224.178	16337500	16.338	149999990	0	0	0x1704C2FE	0	0	0	0	0	0
3	baseline	memory-transform-loop	InterpreterM68000	1	20000000	1592.342	12560119	12.560	249999416	0	0	0x1A63DBB3	0	0	0	0	0	0
3	candidate	branch-self-loop	InterpreterM68000	1	20000000	1082.882	18469235	18.469	200000000	0	0	0x1D3AEA0E	0	0	0	0	0	0
3	candidate	register-hot-loop	InterpreterM68000	1	20000000	1112.089	17984179	17.984	149999990	0	0	0x1704C2FE	0	0	0	0	0	0
3	candidate	memory-transform-loop	InterpreterM68000	1	20000000	1547.779	12921744	12.922	249999416	0	0	0x1A63DBB3	0	0	0	0	0	0
4	candidate	branch-self-loop	InterpreterM68000	1	20000000	1182.281	16916452	16.916	200000000	0	0	0x1D3AEA0E	0	0	0	0	0	0
4	candidate	register-hot-loop	InterpreterM68000	1	20000000	1034.979	19324067	19.324	149999990	0	0	0x1704C2FE	0	0	0	0	0	0
4	candidate	memory-transform-loop	InterpreterM68000	1	20000000	1570.841	12732037	12.732	249999416	0	0	0x1A63DBB3	0	0	0	0	0	0
4	baseline	branch-self-loop	InterpreterM68000	1	20000000	1269.542	15753708	15.754	200000000	0	0	0x1D3AEA0E	0	0	0	0	0	0
4	baseline	register-hot-loop	InterpreterM68000	1	20000000	1241.094	16114811	16.115	149999990	0	0	0x1704C2FE	0	0	0	0	0	0
4	baseline	memory-transform-loop	InterpreterM68000	1	20000000	1732.770	11542215	11.542	249999416	0	0	0x1A63DBB3	0	0	0	0	0	0
5	baseline	branch-self-loop	InterpreterM68000	1	20000000	1216.265	16443784	16.444	200000000	0	0	0x1D3AEA0E	0	0	0	0	0	0
5	baseline	register-hot-loop	InterpreterM68000	1	20000000	1270.770	15738489	15.738	149999990	0	0	0x1704C2FE	0	0	0	0	0	0
5	baseline	memory-transform-loop	InterpreterM68000	1	20000000	1582.246	12640259	12.640	249999416	0	0	0x1A63DBB3	0	0	0	0	0	0
5	candidate	branch-self-loop	InterpreterM68000	1	20000000	1179.391	16957900	16.958	200000000	0	0	0x1D3AEA0E	0	0	0	0	0	0
5	candidate	register-hot-loop	InterpreterM68000	1	20000000	1113.155	17966948	17.967	149999990	0	0	0x1704C2FE	0	0	0	0	0	0
5	candidate	memory-transform-loop	InterpreterM68000	1	20000000	1479.283	13520064	13.520	249999416	0	0	0x1A63DBB3	0	0	0	0	0	0
6	candidate	branch-self-loop	InterpreterM68000	1	20000000	1053.377	18986564	18.987	200000000	0	0	0x1D3AEA0E	0	0	0	0	0	0
6	candidate	register-hot-loop	InterpreterM68000	1	20000000	1025.251	19507418	19.507	149999990	0	0	0x1704C2FE	0	0	0	0	0	0
6	candidate	memory-transform-loop	InterpreterM68000	1	20000000	1424.200	14042970	14.043	249999416	0	0	0x1A63DBB3	0	0	0	0	0	0
6	baseline	branch-self-loop	InterpreterM68000	1	20000000	1249.890	16001408	16.001	200000000	0	0	0x1D3AEA0E	0	0	0	0	0	0
6	baseline	register-hot-loop	InterpreterM68000	1	20000000	1230.287	16256368	16.256	149999990	0	0	0x1704C2FE	0	0	0	0	0	0
6	baseline	memory-transform-loop	InterpreterM68000	1	20000000	1589.912	12579312	12.579	249999416	0	0	0x1A63DBB3	0	0	0	0	0	0
